Mapped_sgRNA_sequence	Chrom	Start	End	Strand
4|sgMEGF6_1|MEGF6	chr1	3579817	3579837	+
4|sgTPRG1L_3|TPRG1L	chr1	3625101	3625121	+
4|sgTPRG1L_1|TPRG1L	chr1	3625247	3625267	-
4|sgTPRG1L_2|TPRG1L	chr1	3625715	3625735	+
4|sgTPRG1L_4|TPRG1L	chr1	3625852	3625872	-
4|sgWRAP73_2|WRAP73	chr1	3635234	3635254	-
4|sgWRAP73_3|WRAP73	chr1	3635964	3635984	+
4|sgWRAP73_4|WRAP73	chr1	3646738	3646758	-
4|sgWRAP73_1|WRAP73	chr1	3647533	3647553	+
4|sgTP73_4|TP73	chr1	3683119	3683139	+
4|sgTP73_3|TP73	chr1	3707739	3707759	-
4|sgTP73_2|TP73	chr1	3722121	3722141	+
4|sgTP73_1|TP73	chr1	3723384	3723404	-
4|sgCCDC27_3|CCDC27	chr1	3754107	3754127	+
4|sgCCDC27_4|CCDC27	chr1	3756759	3756779	+
4|sgCCDC27_1|CCDC27	chr1	3761306	3761326	+
4|sgCCDC27_2|CCDC27	chr1	3763094	3763114	+
4|sgSMIM1_2|SMIM1	chr1	3775390	3775410	+
4|sgSMIM1_4|SMIM1	chr1	3775405	3775425	+
4|sgSMIM1_1|SMIM1	chr1	3775423	3775443	+
4|sgSMIM1_3|SMIM1	chr1	3775784	3775804	+
4|sgLRRC47_4|LRRC47	chr1	3785128	3785148	+
4|sgLRRC47_3|LRRC47	chr1	3786913	3786933	-
4|sgLRRC47_2|LRRC47	chr1	3787226	3787246	-
4|sgLRRC47_1|LRRC47	chr1	3796155	3796175	+
4|sgCEP104_1|CEP104	chr1	3833869	3833889	+
4|sgCEP104_2|CEP104	chr1	3835055	3835075	-
4|sgCEP104_3|CEP104	chr1	3836634	3836654	-
4|sgCEP104_4|CEP104	chr1	3848624	3848644	-
4|sgDFFB_2|DFFB	chr1	3858785	3858805	-
4|sgDFFB_4|DFFB	chr1	3865836	3865856	-
4|sgDFFB_1|DFFB	chr1	3865987	3866007	-
4|sgDFFB_3|DFFB	chr1	3869682	3869702	+
4|sgC1orf174_4|C1orf174	chr1	3890776	3890796	-
4|sgC1orf174_3|C1orf174	chr1	3890806	3890826	+
4|sgC1orf174_1|C1orf174	chr1	3890939	3890959	+
4|sgC1orf174_2|C1orf174	chr1	3890998	3891018	-
1|Neg_Control_Human_GA_0105|NegCtrl	chr1	3917882	3917902	+
4|sgAJAP1_1|AJAP1	chr1	4711956	4711976	+
4|sgAJAP1_3|AJAP1	chr1	4712053	4712073	-
4|sgAJAP1_2|AJAP1	chr1	4712552	4712572	+
4|sgAJAP1_4|AJAP1	chr1	4772288	4772308	-
1|Neg_Control_Human_GA_0461|NegCtrl	chr1	5631876	5631896	-
4|sgNPHP4_3|NPHP4	chr1	5887271	5887291	+
4|sgNPHP4_4|NPHP4	chr1	5905352	5905372	-
4|sgNPHP4_1|NPHP4	chr1	5948181	5948201	+
4|sgNPHP4_2|NPHP4	chr1	5969210	5969230	+
4|sgKCNAB2_2|KCNAB2	chr1	6041827	6041847	-
4|sgKCNAB2_3|KCNAB2	chr1	6082216	6082236	-
4|sgKCNAB2_4|KCNAB2	chr1	6089029	6089049	+
4|sgKCNAB2_1|KCNAB2	chr1	6095387	6095407	-
4|sgCHD5_2|CHD5	chr1	6128996	6129016	+
4|sgCHD5_4|CHD5	chr1	6142220	6142240	-
4|sgCHD5_1|CHD5	chr1	6146337	6146357	+
4|sgCHD5_3|CHD5	chr1	6149293	6149313	+
4|sgRPL22_3|RPL22	chr1	6197665	6197685	+
4|sgRPL22_1|RPL22	chr1	6197736	6197756	-
4|sgRNF207_4|RNF207	chr1	6206718	6206738	-
4|sgRNF207_3|RNF207	chr1	6208963	6208983	+
4|sgRNF207_2|RNF207	chr1	6209267	6209287	+
4|sgRNF207_1|RNF207	chr1	6211034	6211054	-
4|sgICMT_2|ICMT	chr1	6232021	6232041	+
4|sgICMT_4|ICMT	chr1	6233518	6233538	+
4|sgICMT_1|ICMT	chr1	6233609	6233629	+
4|sgICMT_3|ICMT	chr1	6234943	6234963	+
4|sgHES3_2|HES3	chr1	6244424	6244444	+
4|sgHES3_1|HES3	chr1	6244607	6244627	+
4|sgHES3_4|HES3	chr1	6245171	6245191	+
4|sgHES3_3|HES3	chr1	6245289	6245309	-
4|sgGPR153_2|GPR153	chr1	6249991	6250011	-
4|sgGPR153_1|GPR153	chr1	6251339	6251359	-
4|sgGPR153_4|GPR153	chr1	6253798	6253818	+
4|sgGPR153_3|GPR153	chr1	6254736	6254756	-
4|sgACOT7_4|ACOT7	chr1	6327403	6327423	-
4|sgACOT7_1|ACOT7	chr1	6333521	6333541	+
4|sgACOT7_3|ACOT7	chr1	6339549	6339569	+
4|sgACOT7_2|ACOT7	chr1	6349840	6349860	-
4|sgHES2_4|HES2	chr1	6419060	6419080	+
4|sgHES2_3|HES2	chr1	6419131	6419151	-
4|sgHES2_2|HES2	chr1	6419315	6419335	-
4|sgHES2_1|HES2	chr1	6419636	6419656	-
4|sgESPN_4|ESPN	chr1	6428391	6428411	-
4|sgESPN_2|ESPN	chr1	6440677	6440697	-
4|sgESPN_1|ESPN	chr1	6444548	6444568	+
4|sgESPN_3|ESPN	chr1	6445734	6445754	-
4|sgTNFRSF25_4|TNFRSF25	chr1	6462852	6462872	+
4|sgTNFRSF25_2|TNFRSF25	chr1	6464357	6464377	+
4|sgTNFRSF25_1|TNFRSF25	chr1	6464581	6464601	-
4|sgTNFRSF25_3|TNFRSF25	chr1	6465111	6465131	+
4|sgPLEKHG5_3|PLEKHG5	chr1	6470540	6470560	-
4|sgPLEKHG5_1|PLEKHG5	chr1	6473420	6473440	+
4|sgPLEKHG5_4|PLEKHG5	chr1	6474463	6474483	+
4|sgPLEKHG5_2|PLEKHG5	chr1	6475128	6475148	-
4|sgNOL9_2|NOL9	chr1	6532638	6532658	+
4|sgNOL9_3|NOL9	chr1	6541900	6541920	+
4|sgNOL9_1|NOL9	chr1	6549577	6549597	+
4|sgNOL9_4|NOL9	chr1	6550548	6550568	+
4|sgTAS1R1_4|TAS1R1	chr1	6574620	6574640	+
4|sgTAS1R1_1|TAS1R1	chr1	6574817	6574837	+
4|sgTAS1R1_3|TAS1R1	chr1	6574973	6574993	-
4|sgTAS1R1_2|TAS1R1	chr1	6575298	6575318	+
4|sgZBTB48_2|ZBTB48	chr1	6580947	6580967	+
4|sgZBTB48_4|ZBTB48	chr1	6582209	6582229	+
4|sgZBTB48_3|ZBTB48	chr1	6586020	6586040	-
4|sgZBTB48_1|ZBTB48	chr1	6587545	6587565	-
4|sgKLHL21_2|KLHL21	chr1	6599390	6599410	-
4|sgKLHL21_1|KLHL21	chr1	6601878	6601898	-
4|sgKLHL21_3|KLHL21	chr1	6602071	6602091	+
4|sgKLHL21_4|KLHL21	chr1	6602504	6602524	+
4|sgPHF13_1|PHF13	chr1	6616757	6616777	+
4|sgPHF13_3|PHF13	chr1	6620031	6620051	+
4|sgPHF13_4|PHF13	chr1	6620086	6620106	+
4|sgPHF13_2|PHF13	chr1	6620190	6620210	-
4|sgTHAP3_3|THAP3	chr1	6625285	6625305	-
4|sgTHAP3_1|THAP3	chr1	6628526	6628546	+
4|sgTHAP3_2|THAP3	chr1	6628633	6628653	-
4|sgTHAP3_4|THAP3	chr1	6628662	6628682	-
4|sgDNAJC11_2|DNAJC11	chr1	6645883	6645903	-
4|sgDNAJC11_1|DNAJC11	chr1	6653991	6654011	+
4|sgDNAJC11_4|DNAJC11	chr1	6654025	6654045	-
4|sgDNAJC11_3|DNAJC11	chr1	6678446	6678466	-
1|Neg_Control_Human_0008|NegCtrl	chr1	7003017	7003036	+
4|sgCAMTA1_3|CAMTA1	chr1	7467826	7467846	-
4|sgCAMTA1_1|CAMTA1	chr1	7664475	7664495	+
4|sgCAMTA1_2|CAMTA1	chr1	7665075	7665095	+
4|sgCAMTA1_4|CAMTA1	chr1	7736387	7736407	-
4|sgVAMP3_1|VAMP3	chr1	7773464	7773484	-
4|sgVAMP3_4|VAMP3	chr1	7773489	7773509	+
4|sgVAMP3_2|VAMP3	chr1	7777170	7777190	+
4|sgVAMP3_3|VAMP3	chr1	7777227	7777247	+
4|sgPER3_1|PER3	chr1	7786804	7786824	-
4|sgPER3_4|PER3	chr1	7810539	7810559	+
4|sgPER3_3|PER3	chr1	7820513	7820533	+
4|sgPER3_2|PER3	chr1	7826542	7826562	+
4|sgUTS2_3|UTS2	chr1	7850832	7850852	-
4|sgUTS2_2|UTS2	chr1	7850851	7850871	+
4|sgUTS2_1|UTS2	chr1	7850892	7850912	-
4|sgUTS2_4|UTS2	chr1	7853331	7853351	+
4|sgTNFRSF9_4|TNFRSF9	chr1	7935102	7935122	-
4|sgTNFRSF9_2|TNFRSF9	chr1	7937713	7937733	-
4|sgTNFRSF9_1|TNFRSF9	chr1	7938724	7938744	+
4|sgTNFRSF9_3|TNFRSF9	chr1	7938767	7938787	+
4|sgPARK7_1|PARK7	chr1	7965361	7965381	+
4|sgPARK7_3|PARK7	chr1	7969337	7969357	+
4|sgPARK7_2|PARK7	chr1	7969382	7969402	+
4|sgERRFI1_3|ERRFI1	chr1	8013754	8013774	-
4|sgERRFI1_4|ERRFI1	chr1	8014116	8014136	+
4|sgERRFI1_2|ERRFI1	chr1	8014290	8014310	-
4|sgERRFI1_1|ERRFI1	chr1	8015355	8015375	-
4|sgSLC45A1_1|SLC45A1	chr1	8324462	8324482	+
4|sgSLC45A1_4|SLC45A1	chr1	8325314	8325334	-
4|sgSLC45A1_3|SLC45A1	chr1	8325935	8325955	+
4|sgSLC45A1_2|SLC45A1	chr1	8330623	8330643	-
4|sgRERE_2|RERE	chr1	8362827	8362847	-
4|sgRERE_1|RERE	chr1	8495077	8495097	+
